Date,Daily_cases,Cumulative_cases,Daily_deaths,Cumulative_deaths,Daily_vaccinations,Open,Close
2020/1/2,0,0,0,0,0,9039.459961,9092.19043
2020/1/3,0,0,0,0,0,8976.429688,9020.769531
2020/1/6,0,0,0,0,0,8943.5,9071.469727
2020/1/7,0,0,0,0,0,9076.639648,9068.580078
2020/1/8,0,0,0,0,0,9068.030273,9129.240234
2020/1/9,0,0,0,0,0,9202.269531,9203.429688
2020/1/10,0,0,0,0,0,9232.950195,9178.860352
2020/1/13,0,0,0,0,0,9213.719727,9273.929688
2020/1/14,0,0,0,0,0,9270.610352,9251.330078
2020/1/15,0,0,0,0,0,9253.759766,9258.700195
2020/1/16,0,0,0,0,0,9313.450195,9357.129883
2020/1/17,0,0,0,0,0,9392.370117,9388.94043
2020/1/21,0,5,0,0,0,9361.070313,9370.80957
2020/1/22,0,5,0,0,0,9413.610352,9383.769531
2020/1/23,0,5,0,0,0,9377.719727,9402.480469
2020/1/24,1,6,0,0,0,9446.209961,9314.910156
2020/1/27,0,9,0,0,0,9092.459961,9139.30957
2020/1/28,0,9,0,0,0,9201.820313,9269.679688
2020/1/29,0,9,0,0,0,9318.259766,9275.160156
2020/1/30,1,10,0,0,0,9211.150391,9298.929688
2020/1/31,1,11,0,0,0,9324.330078,9150.94043
2020/2/3,2,14,0,0,0,9190.719727,9273.400391
2020/2/4,1,15,0,0,0,9398.389648,9467.969727
2020/2/5,0,15,0,0,0,9574.099609,9508.679688
2020/2/6,1,16,0,0,0,9540.980469,9572.150391
2020/2/7,0,16,0,0,0,9526.639648,9520.509766
2020/2/10,0,16,0,0,0,9493.629883,9628.389648
2020/2/11,1,17,0,0,0,9680.889648,9638.94043
2020/2/12,0,17,0,0,0,9688.599609,9725.959961
2020/2/13,1,18,0,0,0,9657.040039,9711.969727
2020/2/14,1,19,0,0,0,9728.900391,9731.179688
2020/2/18,0,19,0,0,0,9679.040039,9732.740234
2020/2/19,0,19,0,0,0,9782.80957,9817.179688
2020/2/20,0,19,0,0,0,9799.200195,9750.969727
2020/2/21,19,38,0,0,0,9708.009766,9576.589844
2020/2/24,18,57,0,0,0,9188.44043,9221.280273
2020/2/25,0,57,0,0,0,9301.200195,8965.610352
2020/2/26,6,63,0,0,0,9011.549805,8980.780273
2020/2/27,0,63,0,0,0,8744.030273,8566.480469
2020/2/28,3,66,0,0,0,8269.740234,8567.370117
2020/3/2,2,68,0,0,0,8667.139648,8952.169922
2020/3/3,0,68,1,1,0,8965.099609,8684.089844
2020/3/4,65,133,4,5,0,8834.099609,9018.089844
2020/3/5,0,133,4,9,0,8790.089844,8738.589844
2020/3/6,84,217,1,10,0,8469.019531,8575.620117
2020/3/9,259,476,8,19,0,7957.930176,7950.680176
2020/3/10,224,700,6,25,0,8219.759766,8344.25
2020/3/11,0,700,0,25,0,8136.25,7952.049805
2020/3/12,291,991,4,29,0,7398.580078,7201.799805
2020/3/13,277,1268,7,36,0,7610.390137,7874.879883
2020/3/16,0,1718,0,41,0,7392.72998,6904.589844
